"ID","ObjectName","AdmArea","District","ObjectAddress","Coordinates","ConsrtuctionWorkType","MainFunctional","SourceOfFinance","DevelopmentArea","FloorsAmount","ObjectStatus","CadastralNumber","GPZUDocumentNumber","GPZUDocumentDate","GPZUDocumentStatus","Permission","EntryState","EntryAddReason","FunctionalForNG"
"43","Дошкольное образовательное учреждение (2-я очередь строительства жилого дома с подземной автостоянкой, мультисервисом и отдельностоящим ДОУ)","Северо-Восточный административный округ","район Марьина Роща","Москва, СВАО, Марьина роща, Новосущевская ул., вл. 37","37.602203921205,55.788599041331","новое строительство","Дошкольная образовательная организация","внебюджетные источники","770","3","в строительстве","77:02:0024026:2081","RU77154000-038065","29.09.2011","действует","More then 1 level","активна","новый объект","Дошкольная образовательная организация"
"771","Телевизионный комплекс ОАО ""Телекомпания НТВ""","Северо-Восточный административный округ","Останкинский район","Москва, СВАО, район Останкинский, Новомосковская улица, вл. 18-22","37.619060188133,55.817768093242","новое строительство","Объект производства электронных компонентов, аппаратур для радио, телевидения и связи","внебюджетные источники","6545","8","в строительстве","77:02:0022005:1","RU77-174000-001921","08.09.2010","действует","More then 1 level","активна","новый объект","Промышленно-производственный объект"
"738","Одноквартирные жилые дома (3-й пусковой комплекс)","Северо-Западный административный округ","район Куркино","Москва, СЗАО, район Куркино, мкр. 1 АБВ, корп. 44, 46, 49, 51, 53, 55","37.379301300613,55.906705621953","новое строительство","Малоэтажный многоквартирный дом","городской бюджет","230.2","2","в строительстве","77:08:0001007:1","RU77-146000-005490","16.03.2012","аннулирован","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"1031","Реконструкция жилого дома","Юго-Западный административный округ","район Южное Бутово","Москва, ЮЗАО, район Южное Бутово, 1-я Павлоградская улица, д. 10","37.575864205620,55.545354674543","реконструкция","Малоэтажный многоквартирный дом","внебюджетные источники","138.4","2","в строительстве","77:06:0012015:1008","RU77-220000-006139","05.09.2012","действует","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
"894","Индивидуальный монолитный 9-секционный 11-этажный жилой дом с подземной автостоянкой (2-й этап - подземная автостоянка)","Южный административный округ","район Бирюлёво Восточное","Москва, ЮАО, район Бирюлево Восточное, 6-я Радиальная улица, вл. 7, корп. 3","37.663362526202,55.606832113048","новое строительство","Многоэтажный многоквартирный дом","внебюджетные источники","3595.28","11+чердак+техпод.+2 подз.","в строительстве","77:05:0010002:4","RU77-111000-011832","20.04.2014","действует","More then 1 level","активна","новый объект","Многоэтажный многоквартирный дом"
"555","Офисно-административный комплекс (2 этап)","Западный административный округ","район Дорогомилово","Москва, ЗАО, район Дорогомилово, ул. Можайский вал, вл. 8, стр. 1-4","37.555730758883,55.744038211073","новое строительство","Офисное здание","внебюджетные источники","5012.7","14","в строительстве","77:07:0007002:81","RU77-129000-002187","06.08.2010","действует","More then 1 level","активна","новый объект","Офисное здание"
"1028","Объект розничной торговли продовольственными и непродовольственными группами товаров и общественного питания","Западный административный округ","район Ново-Переделкино","Москва, ЗАО, район Ново-Переделкино, Боровское шоссе, вл. 30-36","37.355316030397,55.640663636124","новое строительство","Объект торговли иного типа","внебюджетные источники","932.7","3+2подземных","в строительстве","77:07:0015005:115","RU77-170000-006092","17.09.2012","действует","More then 1 level","активна","новый объект","Объект торговли"
"571","Буддийский  Храм со ступой","Северо-Восточный административный округ","район Отрадное","Москва, СВАО, район Отрадное, Нововладыкинский проезд,      вл. 15","37.590718959025,55.854722291681","новое строительство","Храм","внебюджетные источники","3068.77","3+экспл.кровля+подвал","в строительстве","77:02:0009001:61","RU77-175000-006683","23.04.2013","действует","More then 1 level","активна","новый объект","Храм"
"936","Многофункциональный комплекс с гостиницей на 250 номеров и футбольным стадионом","Западный административный округ","район Внуково","Москва, ЗАО, район Внуково, Большая Внуковская улица, вл. 8","37.296053971173,55.612483970892","новое строительство","Гостиница","внебюджетные источники","35000","14+верх.тех.+подз.","в строительстве","77:07:0016000:72","RU77-117000-005322","18.05.2012","действует","More then 1 level","активна","новый объект","Гостиница"
"806","Комплекс домов из 3-х строений: главный дом, гостевой дом, хозяйственный блок","Западный административный округ","район Внуково","г. Москва, ЗАО, район Внуково, Железнодорожная улица (пос. Толстопальцево)","37.200516796061,55.614160078677","новое строительство","Малоэтажный многоквартирный дом","внебюджетные источники","1453.5","2","в строительстве","77:07:0017002:1215","RU77-117000-003941","30.08.2011","действует","More then 1 level","активна","новый объект","Малоэтажный многоквартирный дом"
